-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.560,3.600, 3.916,2.380, 3.469,2.800, 3.049,-0.006, 3.247,1, Stand
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.359,2.896, 2.560,3.600, 3.916,2.380, 3.469,2.800, 2.800,-0.300, 3.247,1, Lean on right foot 
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.460,2.896, 2.560,3.600, 3.916,2.380, 3.369,2.800, 2.730,-0.300, 3.247,1, get on edge of left foot
-0.011,0.095,1.290,-0.246,0.105,  0.230,0.024, -0.460,2.896, 2.560,3.600, 3.916,2.380, 3.369,2.800, 2.730,-0.300, 3.247,1, ROTATE!!!
-0.011,0.095,1.290,-0.246,0.105,  0.230,0.024, -0.417,2.882, 2.603,3.630, 3.854,2.254, 3.308,2.770, 2.745,-0.289, 3.242,1, go down on both feet
-0.011,0.095,1.290,-0.246,0.105,  0.230,0.024,  0.243,3.538, 2.549,3.699, 4.193,2.136, 3.525,2.742, 3.298, 0.254, 3.242,1, shift weight on left foot
-0.011,0.095,1.290,-0.246,0.105,  0.230,0.024,  0.243,3.800, 2.549,3.699, 4.193,2.136, 3.580,2.742, 3.390, 0.330, 3.242,1, get on edge of right foot 
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024,  0.243,3.800, 2.549,3.699, 4.193,2.136, 3.580,2.742, 3.390, 0.330, 3.242,1, ROTATE back!!!
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024,  0.143,3.500, 2.560,3.600, 4.193,2.136, 3.580,2.742, 3.390, 0.230, 3.242,1, Stand pos 1
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.560,3.600, 3.916,2.380, 3.469,2.800, 3.049,-0.006, 3.247,1, Stand final
