-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.618,3.652, 3.916,2.379, 3.469,2.801, 3.049,-0.006, 3.247,2,
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.618,3.652, 3.916,2.379, 3.469,2.801, 3.200,-0.15,  3.247,2,
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.618,3.652, 3.916,2.379, 3.469,2.801, 3.300,-0.18,  3.247,2,
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.618,3.652, 3.916,2.379, 3.469,2.801, 3.300,-0.25,  3.247,2,
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.193, 2.618,3.500, 4.200,2.179, 3.469,2.700, 3.300,-0.25,  3.247,1, left foot
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.293, 2.418,3.500, 4.200,2.179, 3.469,2.700, 3.300,-0.25,  3.247,1, left foot
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.293, 2.418,3.500, 4.200,2.179, 3.269,2.700, 3.000,-0.25,  3.247,2, left foot rot rot
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.293, 2.470,3.550, 4.100,2.100, 3.300,2.600, 3.000,-0.25,  3.247,2, left foot rot rot
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.293, 2.550,3.600, 4.050,2.000, 3.369,2.500, 3.000,-0.18,  3.247,2, left foot rot rot 
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.293, 2.550,3.600, 4.050,2.000, 3.369,2.500, 2.950,-0.10,  3.247,2, shift weight 
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.093, 2.550,3.600, 4.000,2.100, 3.369,2.500, 2.950,-0.10,  3.247,2, shift weight 
-0.011,0.095,1.290,-0.246,0.105, -0.009,0.024, -0.062,3.093, 2.550,3.600, 4.000,2.200, 3.369,2.500, 2.950,-0.10,  3.247,2, shift weight
